chromosome	start	end	width	test	ref
Chr04	2375001	2385000	10000	974	868
Chr04	2380001	2390000	10000	1002	866
Chr04	2385001	2395000	10000	611	585
Chr04	2390001	2400000	10000	309	298
Chr04	2395001	2405000	10000	376	275
Chr04	2400001	2410000	10000	426	319
Chr04	2405001	2415000	10000	388	303
Chr04	2410001	2420000	10000	360	306
Chr04	2415001	2425000	10000	365	325
Chr04	2420001	2430000	10000	362	326
Chr04	2425001	2435000	10000	381	299
Chr04	2430001	2440000	10000	410	321
Chr04	2435001	2445000	10000	406	407
Chr04	2440001	2450000	10000	378	376
Chr04	2445001	2455000	10000	398	351
Chr04	2450001	2460000	10000	438	357
Chr04	2455001	2465000	10000	407	308
Chr04	2460001	2470000	10000	386	306
Chr04	2465001	2475000	10000	417	327
Chr04	2470001	2480000	10000	364	274
Chr04	2475001	2485000	10000	334	326
Chr04	2480001	2490000	10000	404	374
Chr04	2485001	2495000	10000	347	305
Chr04	2490001	2500000	10000	223	244
Chr04	2495001	2505000	10000	247	242
Chr04	2500001	2510000	10000	379	369
Chr04	2505001	2515000	10000	408	418
Chr04	2510001	2520000	10000	350	345
Chr04	2515001	2525000	10000	714	636
Chr04	2520001	2530000	10000	1290	1138
Chr04	2525001	2535000	10000	871	777
Chr04	2530001	2540000	10000	273	288
Chr04	2535001	2545000	10000	386	437
Chr04	2540001	2550000	10000	408	454
Chr04	2545001	2555000	10000	282	318
Chr04	2550001	2560000	10000	350	346
Chr04	2555001	2565000	10000	385	325
Chr04	2560001	2570000	10000	244	211
Chr04	2565001	2575000	10000	260	225
Chr04	2570001	2580000	10000	344	277
Chr04	2575001	2585000	10000	288	259
Chr04	2580001	2590000	10000	321	297
Chr04	2585001	2595000	10000	361	328
Chr04	2590001	2600000	10000	298	329
Chr04	2595001	2605000	10000	313	379
Chr04	2600001	2610000	10000	226	240
Chr04	2605001	2615000	10000	96	66
Chr04	2610001	2620000	10000	207	197
Chr04	2615001	2625000	10000	313	300
Chr04	2620001	2630000	10000	252	240
Chr04	2625001	2635000	10000	335	295
Chr04	2630001	2640000	10000	430	320
Chr04	2635001	2645000	10000	349	275
Chr04	2640001	2650000	10000	185	175
Chr04	2645001	2655000	10000	164	139
Chr04	2650001	2660000	10000	240	222
Chr04	2655001	2665000	10000	275	294
Chr04	2660001	2670000	10000	364	332
Chr04	2665001	2675000	10000	419	281
Chr04	2670001	2680000	10000	436	320
Chr04	2675001	2685000	10000	348	337
Chr04	2680001	2690000	10000	255	246
Chr04	2685001	2695000	10000	122	105
Chr04	2690001	2700000	10000	1	1
Chr04	2695001	2705000	10000	29	26
Chr04	2700001	2710000	10000	53	48
Chr04	2705001	2715000	10000	31	38
Chr04	2710001	2720000	10000	6	16
Chr04	2715001	2725000	10000	41	31
Chr04	2720001	2730000	10000	135	143
Chr04	2725001	2735000	10000	159	184
Chr04	2730001	2740000	10000	157	153
Chr04	2735001	2745000	10000	275	242
Chr04	2740001	2750000	10000	305	270
Chr04	2745001	2755000	10000	257	257
Chr04	2750001	2760000	10000	254	248
Chr04	2755001	2765000	10000	261	200
Chr04	2760001	2770000	10000	344	313
Chr04	2765001	2775000	10000	415	430
Chr04	2770001	2780000	10000	444	355
Chr04	2775001	2785000	10000	355	268
Chr04	2780001	2790000	10000	325	312
Chr04	2785001	2795000	10000	319	290
Chr04	2790001	2800000	10000	317	284
Chr04	2795001	2805000	10000	352	312
Chr04	2800001	2810000	10000	320	267
Chr04	2805001	2815000	10000	335	267
Chr04	2810001	2820000	10000	367	291
Chr04	2815001	2825000	10000	356	319
Chr04	2820001	2830000	10000	284	277
Chr04	2825001	2835000	10000	308	284
Chr04	2830001	2840000	10000	326	313
Chr04	2835001	2845000	10000	333	279
Chr04	2840001	2850000	10000	410	376
Chr04	2845001	2855000	10000	362	379
Chr04	2850001	2860000	10000	307	300
Chr04	2855001	2865000	10000	368	349
Chr04	2860001	2870000	10000	358	332
Chr04	2865001	2875000	10000	302	293
Chr04	2870001	2880000	10000	314	344
Chr04	2875001	2885000	10000	310	343
Chr04	2880001	2890000	10000	286	301
Chr04	2885001	2895000	10000	235	253
Chr04	2890001	2900000	10000	185	190
Chr04	2895001	2905000	10000	239	243
Chr04	2900001	2910000	10000	283	263
Chr04	2905001	2915000	10000	321	267
Chr04	2910001	2920000	10000	435	338
Chr04	2915001	2925000	10000	418	356
Chr04	2920001	2930000	10000	361	340
Chr04	2925001	2935000	10000	344	319
Chr04	2930001	2940000	10000	311	299
Chr04	2935001	2945000	10000	330	322
Chr04	2940001	2950000	10000	332	345
Chr04	2945001	2955000	10000	361	321
Chr04	2950001	2960000	10000	325	281
Chr04	2955001	2965000	10000	282	266
Chr04	2960001	2970000	10000	340	322
Chr04	2965001	2975000	10000	402	383
Chr04	2970001	2980000	10000	389	373
Chr04	2975001	2985000	10000	346	348
Chr04	2980001	2990000	10000	409	381
Chr04	2985001	2995000	10000	433	388
Chr04	2990001	3000000	10000	422	401
Chr04	2995001	3005000	10000	581	630
Chr04	3000001	3010000	10000	555	571
Chr04	3005001	3015000	10000	316	302
Chr04	3010001	3020000	10000	297	283
Chr04	3015001	3025000	10000	349	302
Chr04	3020001	3030000	10000	417	368
Chr04	3025001	3035000	10000	466	391
Chr04	3030001	3040000	10000	368	332
Chr04	3035001	3045000	10000	292	274
Chr04	3040001	3050000	10000	312	293
Chr04	3045001	3055000	10000	366	313
Chr04	3050001	3060000	10000	375	328
Chr04	3055001	3065000	10000	353	373
Chr04	3060001	3070000	10000	329	317
Chr04	3065001	3075000	10000	311	262
Chr04	3070001	3080000	10000	334	343
Chr04	3075001	3085000	10000	345	379
Chr04	3080001	3090000	10000	419	414
Chr04	3085001	3095000	10000	453	405
Chr04	3090001	3100000	10000	317	289
Chr04	3095001	3105000	10000	293	304
Chr04	3100001	3110000	10000	346	361
Chr04	3105001	3115000	10000	382	335
Chr04	3110001	3120000	10000	411	343
Chr04	3115001	3125000	10000	356	360
Chr04	3120001	3130000	10000	273	281
Chr04	3125001	3135000	10000	193	178
Chr04	3130001	3140000	10000	201	158
Chr04	3135001	3145000	10000	270	255
Chr04	3140001	3150000	10000	299	248
Chr04	3145001	3155000	10000	348	198
Chr04	3150001	3160000	10000	405	323
Chr04	3155001	3165000	10000	387	387
Chr04	3160001	3170000	10000	342	341
Chr04	3165001	3175000	10000	335	314
Chr04	3170001	3180000	10000	338	322
Chr04	3175001	3185000	10000	389	366
Chr04	3180001	3190000	10000	410	356
Chr04	3185001	3195000	10000	426	360
Chr04	3190001	3200000	10000	406	338
Chr04	3195001	3205000	10000	332	313
Chr04	3200001	3210000	10000	302	305
Chr04	3205001	3215000	10000	341	281
Chr04	3210001	3220000	10000	351	321
Chr04	3215001	3225000	10000	302	329
Chr04	3220001	3230000	10000	318	306
Chr04	3225001	3235000	10000	364	316
Chr04	3230001	3240000	10000	400	381
Chr04	3235001	3245000	10000	380	362
Chr04	3240001	3250000	10000	342	311
Chr04	3245001	3255000	10000	313	329
Chr04	3250001	3260000	10000	282	293
Chr04	3255001	3265000	10000	344	320
Chr04	3260001	3270000	10000	394	356
Chr04	3265001	3275000	10000	376	336
Chr04	3270001	3280000	10000	385	355
Chr04	3275001	3285000	10000	371	342
Chr04	3280001	3290000	10000	358	346
Chr04	3285001	3295000	10000	352	341
Chr04	3290001	3300000	10000	342	320
Chr04	3295001	3305000	10000	302	310
Chr04	3300001	3310000	10000	311	309
Chr04	3305001	3315000	10000	332	331
Chr04	3310001	3320000	10000	291	323
Chr04	3315001	3325000	10000	343	379
Chr04	3320001	3330000	10000	422	383
Chr04	3325001	3335000	10000	348	295
Chr04	3330001	3340000	10000	313	294
Chr04	3335001	3345000	10000	338	323
Chr04	3340001	3350000	10000	365	361
Chr04	3345001	3355000	10000	328	316
Chr04	3350001	3360000	10000	292	251
Chr04	3355001	3365000	10000	388	322
Chr04	3360001	3370000	10000	385	340
Chr04	3365001	3375000	10000	348	338
Chr04	3370001	3380000	10000	310	278
Chr04	3375001	3385000	10000	282	237
Chr04	3380001	3390000	10000	289	266
Chr04	3385001	3395000	10000	310	272
Chr04	3390001	3400000	10000	344	277
Chr04	3395001	3405000	10000	363	293
Chr04	3400001	3410000	10000	335	333
Chr04	3405001	3415000	10000	270	262
Chr04	3410001	3420000	10000	264	226
Chr04	3415001	3425000	10000	287	250
Chr04	3420001	3430000	10000	291	255
Chr04	3425001	3435000	10000	301	282
Chr04	3430001	3440000	10000	266	258
Chr04	3435001	3445000	10000	254	285
Chr04	3440001	3450000	10000	297	318
Chr04	3445001	3455000	10000	285	268
Chr04	3450001	3460000	10000	316	293
Chr04	3455001	3465000	10000	296	299
Chr04	3460001	3470000	10000	249	256
Chr04	3465001	3475000	10000	272	273
Chr04	3470001	3480000	10000	378	384
Chr04	3475001	3485000	10000	400	392
Chr04	3480001	3490000	10000	337	338
Chr04	3485001	3495000	10000	334	366
Chr04	3490001	3500000	10000	335	318
Chr04	3495001	3505000	10000	358	348
Chr04	3500001	3510000	10000	330	377
Chr04	3505001	3515000	10000	261	258
Chr04	3510001	3520000	10000	274	273
Chr04	3515001	3525000	10000	326	336
Chr04	3520001	3530000	10000	278	227
Chr04	3525001	3535000	10000	254	199
Chr04	3530001	3540000	10000	336	331
Chr04	3535001	3545000	10000	368	352
Chr04	3540001	3550000	10000	385	349
Chr04	3545001	3555000	10000	381	366
Chr04	3550001	3560000	10000	285	281
Chr04	3555001	3565000	10000	295	239
Chr04	3560001	3570000	10000	262	192
Chr04	3565001	3575000	10000	191	168
Chr04	3570001	3580000	10000	253	246
Chr04	3575001	3585000	10000	314	277
Chr04	3580001	3590000	10000	201	176
